연도,전지구,안면도,고산,울릉도,독도,
1984,344.5,,,,,
1985,345.9,,,,,
1986,347.3,,,,,
1987,349.1,,,,,
1988,351.4,,,,,
1989,353.1,,,,,
1990,354.3,,,,,
1991,355.6,,,,,
1992,356.3,,,,,
1993,357.1,,,,,
1994,358.7,,,,,
1995,360.6,,,,,
1996,362.3,,,,,
1997,363.5,,,,,
1998,366.2,,,,,
1999,368.2,369.2,,,,
2000,369.6,371.8,,,,
2001,371.2,374.6,,,,
2002,373.1,378.1,,,,
2003,375.5,382.0,,,,
2004,377.3,380.8,,,,
2005,379.4,387.6,,,,
2006,381.5,387.1,,,,
2007,383.4,389.1,,,,
2008,385.4,390.0,,,,
2009,387.0,390.8,,,,
2010,389.2,393.1,,,,
2011,391.1,394.4,,,,
2012,393.3,400.3,398.9,,,
2013,396.0,403.3,401.9,,,
2014,398.0,404.6,403.0,402.2,401.0,
2015,400.4,406.9,406.0,404.3,405.9,
2016,403.6,410.6,409.1,407.9,404.9,
2017,405.9,413.1,411.5,410.4,413.1,
2018,408.1,415.0,414.0,414.4,414.1,
2019,410.7,417.7,416.4,415.3,415.1,
2020,413.2,420.4,418.9,417.6,416.6,
2021,415.7,423.1,421.5,420.8,419.6,
