연도,인천,안흥,보령,군산,위도,목포,흑산도,추자도,제주,서귀포,거문도,완도,여수,통영,가덕도,부산,울산,포항,속초,묵호,울릉도,
1989,459.5,353.8,390.7,363.6,332.4,238.4,184.9,172.3,156.8,159.6,179.3,204.1,182.9,147.3,102.3,69.0,32.0,19.6,22.0,18.5,23.8,
1990,461.8,354.4,390.8,365.0,330.9,237.5,184.2,171.6,156.7,159.1,178.1,204.7,180.9,144.9,100.3,66.4,28.7,18.1,20.8,17.2,20.8,
1991,457.6,352.2,390.5,368.4,330.9,240.5,185.0,172.8,157.4,160.4,180.0,206.8,183.2,146.4,101.4,69.7,29.8,19.1,21.6,17.4,19.5,
1992,457.2,354.5,390.7,367.2,331.1,240.6,184.9,173.2,158.7,162.5,181.0,207.1,183.9,147.5,102.0,70.1,31.0,20.2,23.4,19.8,16.8,
1993,458.9,351.2,385.9,359.8,327.6,239.2,183.2,169.1,154.6,159.8,178.0,203.1,181.3,144.9,99.2,67.3,29.4,18.8,21.6,18.0,9.9,
1994,458.6,352.5,389.8,363.3,330.1,238.3,185.2,171.6,159.3,163.0,179.5,205.1,182.6,145.9,101.2,68.2,31.1,17.9,22.5,18.7,10.7,
1995,456.4,352.6,387.4,361.6,332.4,237.6,183.1,169.0,157.2,160.2,177.3,202.8,179.4,143.1,98.0,66.2,31.0,16.4,21.4,17.6,18.6,
1996,455.2,353.6,386.0,362.4,331.5,238.3,182.6,168.7,157.1,160.2,178.2,203.6,180.1,143.9,98.9,66.2,28.2,16.9,21.1,16.9,13.0,
1997,455.8,352.2,388.0,365.0,334.0,239.7,183.8,172.5,160.7,163.6,181.0,205.1,181.9,145.6,101.3,68.6,29.7,18.8,22.2,18.6,13.4,
1998,463.9,357.0,391.8,369.5,336.4,238.3,186.8,175.4,161.2,165.2,183.3,208.6,186.1,149.1,103.7,72.0,32.9,20.8,24.3,19.8,20.8,
1999,459.6,359.2,391.8,369.7,334.1,244.0,188.2,174.6,160.5,165.5,184.0,208.5,186.3,149.0,104.7,71.9,32.5,21.5,24.5,20.1,28.9,
2000,460.5,356.1,394.6,369.1,333.7,241.8,188.1,173.5,158.9,166.1,181.0,206.7,183.8,146.1,100.5,70.1,30.9,21.1,25.0,20.6,26.8,
2001,461.1,358.5,395.3,368.5,336.0,244.1,190.2,172.9,160.0,166.3,182.1,206.9,187.4,147.0,102.0,70.6,30.9,20.6,24.0,18.7,19.8,
2002,461.4,357.7,396.1,369.7,336.3,246.0,190.3,175.2,160.9,166.9,184.1,208.4,185.8,147.8,103.6,71.6,33.4,23.0,26.2,21.3,20.3,
2003,462.0,358.0,396.3,372.7,335.3,244.8,190.4,175.4,160.5,166.5,183.8,208.8,185.9,148.5,104.9,71.4,33.0,17.2,23.3,20.3,25.4,
2004,463.3,359.2,396.2,370.7,335.2,244.3,190.3,175.8,162.4,166.7,182.3,207.2,182.9,148.3,103.4,70.9,32.9,19.6,25.1,22.9,29.6,
2005,458.3,357.6,391.1,365.7,335.2,239.9,186.2,174.2,159.2,163.2,178.7,205.0,181.4,145.6,99.7,68.9,30.9,17.7,23.7,21.8,21.5,
2006,462.2,359.2,393.9,366.7,335.2,243.2,188.9,176.4,162.9,166.7,181.4,208.5,185.5,148.0,105.2,71.2,34.1,19.0,23.1,21.6,24.4,
2007,463.7,356.1,394.8,369.7,335.9,242.4,188.6,177.4,161.4,166.1,183.3,208.7,185.9,148.4,103.5,71.0,32.3,20.5,26.5,22.4,22.3,
2008,461.2,356.9,392.9,368.9,334.2,240.3,186.7,175.2,159.9,166.2,181.9,207.2,185.0,147.0,101.1,70.4,31.0,20.2,24.6,21.2,19.1,
2009,462.1,357.8,395.0,368.4,336.0,240.9,188.3,176.0,161.5,165.8,183.1,209.4,185.8,148.5,100.6,73.2,32.8,21.7,25.0,21.5,25.9,
2010,463.1,358.0,395.3,370.0,336.9,244.6,189.3,175.9,161.9,165.9,181.8,210.1,186.6,149.0,101.0,74.6,32.7,22.8,26.6,23.2,17.8,
2011,462.2,356.5,393.5,368.7,335.2,242.9,187.3,173.7,159.4,164.1,180.0,208.0,186.4,146.8,101.8,73.7,31.5,21.6,25.7,20.3,21.5,
2012,466.0,361.0,397.5,372.1,337.8,244.8,192.0,178.3,164.0,168.2,185.9,212.1,188.4,151.4,106.3,74.8,36.2,25.6,30.2,23.5,32.0,
2013,464.8,358.0,396.0,370.6,336.4,245.1,189.7,175.2,162.3,165.6,184.3,208.1,185.3,148.8,104.8,70.0,33.2,24.5,27.7,22.5,33.7,
2014,465.3,357.5,396.9,371.3,338.1,245.5,190.9,178.6,163.5,166.9,185.9,211.2,187.9,151.1,107.6,74.3,36.8,25.0,28.1,23.2,30.3,
2015,464.3,360.4,397.0,372.0,337.7,244.5,189.0,179.1,164.7,167.7,185.1,211.2,187.9,151.1,108.1,74.2,37.2,26.0,28.7,23.6,34.9,
2016,467.4,363.0,399.4,375.0,340.7,247.3,192.7,181.3,167.5,170.7,190.3,214.2,191.7,154.8,111.8,77.3,40.5,29.6,32.6,28.5,36.7,
2017,463.7,357.7,395.0,371.2,336.1,244.5,191.3,176.9,162.6,167.3,184.6,209.4,186.2,150.4,106.6,74.6,35.8,25.5,28.5,23.1,29.7,
